title,company,salary,url,experience,employment,schedule,work_hours
Архитектор (Solution Architect),СБЕР,Not specified,https://hh.ru/vacancy/120100700,6.0,Полная,2/2,12
Руководитель направления hr-аналитики,Крупная финансовая компания (федерального масштаба),Not specified,https://hh.ru/vacancy/119608309,3.0,Полная,5/2,8
Site Reliability Engineer (SRE),Т-Банк,Not specified,https://hh.ru/vacancy/117952356,3.0,Полная,5/2,8
Руководитель направления реализации стратегических программ,Крупный российский банк,Not specified,https://hh.ru/vacancy/119537034,6.0,Полная,5/2,8
Аналитик DWH,СБЕР,Not specified,https://hh.ru/vacancy/119349000,,,,
Инженер по автоматизации,Московская Биржа,Not specified,https://hh.ru/vacancy/119404456,3.0,Полная,5/2,8
Старший консультант (Retail & E-commerce),Б1 (B1),Not specified,https://hh.ru/vacancy/119252023,3.0,Полная,5/2,8
Инженер данных (Data engineer),"Бристоль, сеть магазинов",210000–210000 RUR,https://hh.ru/vacancy/115703131,1.0,Полная,5/2,8
Разработчик-алгоритмист (JavaScript/TypeScript),Интерфакс,Not specified,https://hh.ru/vacancy/117948185,1.0,Полная,5/2,8
Лид продуктовой аналитики последней мили,ВкусВилл,Not specified,https://hh.ru/vacancy/119883086,,Полная,5/2,8
Ведущий инженер отдела мониторинга актуальности единой электронной картографической основы,ППК Роскадастр,From 100000 RUR,https://hh.ru/vacancy/119015819,3.0,Полная,5/2,8
Аналитик,ГКУ Инфогород,Not specified,https://hh.ru/vacancy/119197763,3.0,Полная,5/2,8
Инженер-программист радиоэлектронных средств и комплексов,Гаскар Интеграция,Not specified,https://hh.ru/vacancy/119100316,3.0,Полная,5/2,8
Младший аналитик данных // Junior data analyst,"Группа компаний «Group4Media», Управляющая компания",Not specified,https://hh.ru/vacancy/119157837,1.0,Полная,5/2,8
Администратор Linux,VK,Not specified,https://hh.ru/vacancy/119599988,1.0,Полная,5/2,8
"Senior Backend Engineer (Python, Go)",MIRA TECH L.L.C,Not specified,https://hh.ru/vacancy/119079738,3.0,Полная,5/2,8
Программист C/С++,НЭПТ,180000–270000 RUR,https://hh.ru/vacancy/118794303,3.0,Полная,5/2,8
Аналитик-разработчик,Спортмастер,Not specified,https://hh.ru/vacancy/119153919,1.0,Полная,5/2,8
Стажер в сфере аналитики и статистики,Центральный банк Российской Федерации (Банк России),Not specified,https://hh.ru/vacancy/119669487,,Частичная,5/2,
Аналитик данных,Ассоциация Специалистов Городского Хозяйства по Развитию Управленческих Кадров,120000–144000 RUR,https://hh.ru/vacancy/118177788,1.0,Полная,5/2,8
Младший аналитик данных (Клиентский сервис),Ozon,Not specified,https://hh.ru/vacancy/119026660,1.0,Полная,5/2,8
Ведущий разработчик (ETL),АШАН Ритейл Россия,Not specified,https://hh.ru/vacancy/119631400,,,,
Data Scientist в команду риск - моделирования для сегментов корпоративного и/или малого бизнеса,Банк ВТБ (ПАО),Not specified,https://hh.ru/vacancy/117355090,1.0,Полная,5/2,8
Инженер-программист микроконтроллеров (Middle),Актив,Not specified,https://hh.ru/vacancy/49784077,3.0,Полная,5/2,8
Тech Lead,Т-Банк,Not specified,https://hh.ru/vacancy/114840284,6.0,Полная,5/2,8
Разработчик Embedded Linux,Кадровое агентство SELENA GROUP,Up to 350000 RUR,https://hh.ru/vacancy/119196208,3.0,Полная,5/2,8
TL Data Scientist,Платформа ОФД,Up to 459000 RUR,https://hh.ru/vacancy/117519659,6.0,Полная,5/2,8
Разработчик Golang/Golang Developer (xData),Группа компаний Астра,Not specified,https://hh.ru/vacancy/119602544,3.0,Полная,5/2,8
"Специалист по статическому анализу (C, Linux)",АМИКОН,Not specified,https://hh.ru/vacancy/117964324,,Частичная,,45678
Аналитик данных,Ozon,Not specified,https://hh.ru/vacancy/118209474,1.0,Полная,5/2,8
Аналитик данных в службу внутреннего аудита,ИНТЕР РАО ОЦО,Up to 205683 RUR,https://hh.ru/vacancy/119606271,3.0,Полная,5/2,8
Риск-аналитик по рыночным рискам (Управление активами),Компания БКС,Not specified,https://hh.ru/vacancy/118188594,1.0,Полная,5/2,8
Специалист по оценке кредитных рисков,Северсталь,Not specified,https://hh.ru/vacancy/119340906,3.0,Полная,5/2,8
DevOps разработчик (СберБизнес),СБЕР,Not specified,https://hh.ru/vacancy/120067590,,,,
Инженер по сопровождению (Глобальные рынки),СБЕР,Not specified,https://hh.ru/vacancy/119325531,,,,
Программист-алгоритмист,Наймиум,From 250000 RUR,https://hh.ru/vacancy/118846616,1.0,Полная,5/2,8
ДБА PostgreSQL / DBA,Сеть Партнерств,From 350000 RUR,https://hh.ru/vacancy/118781193,6.0,Полная,5/2,8
ML-инженер,DDX Fitness,Not specified,https://hh.ru/vacancy/119496286,1.0,Полная,5/2,8
Риск-менеджер в отдел финансовой устойчивости и платежеспособности страховых организаций,Центральный банк Российской Федерации (Банк России),Not specified,https://hh.ru/vacancy/120126129,3.0,Полная,5/2,8
Infrastructure Engineer/DevOps (to Cyprus),Headshot,5000–6000 EUR,https://hh.ru/vacancy/119333443,3.0,Полная,5/2,8
ML/AI Инженер,Интерфакс,Not specified,https://hh.ru/vacancy/119476186,3.0,Полная,5/2,9
Специалист по направлению разведки киберугроз (TI),Газпромнефть-Снабжение,Not specified,https://hh.ru/vacancy/118817698,1.0,Полная,5/2,8
Программист баз данных,Гринатом,Not specified,https://hh.ru/vacancy/118870767,3.0,Полная,5/2,8
Senior разработчик C++/Python,МКО Системы,Not specified,https://hh.ru/vacancy/119058762,3.0,Полная,5/2,8
Devops/Build Engineer (5G Core),YADRO,Not specified,https://hh.ru/vacancy/119502158,3.0,Полная,5/2,8
QA auto engineer / QA automation / Тестировщик - автоматизатор,Data World,Up to 240000 RUR,https://hh.ru/vacancy/118049919,3.0,Полная,5/2,8
Инженер по внедрению AI,Star-Staff,Not specified,https://hh.ru/vacancy/119248979,3.0,Полная,5/2,8
Технический писатель/Аналитик,Брисмани,120000–150000 RUR,https://hh.ru/vacancy/119605436,1.0,Полная,5/2,9
DevOps / Site Reliability Engineer (SRE),LADA Цифра,Not specified,https://hh.ru/vacancy/116836474,1.0,Полная,5/2,8
"Фронтенд разработчик (WebGL, Three.js)",Группа компаний ТехноТранс (АО Технотранс),Not specified,https://hh.ru/vacancy/119543590,1.0,Проектная,Свободный,по договорённости
Руководитель группы аналитики,Межрегиональная инспекция Федеральной налоговой службы по управлению долгом,Not specified,https://hh.ru/vacancy/118991523,3.0,Полная,,
Продуктовый аналитик,СБЕР,Not specified,https://hh.ru/vacancy/119563077,,,,
Эксперт (Linux),НОВАТЭК,Not specified,https://hh.ru/vacancy/117024859,6.0,Полная,5/2,8
Python + Go разработчик,ИЦ АЙ-ТЕКО,Not specified,https://hh.ru/vacancy/119807848,3.0,Полная,5/2,8
Тестировщик QA,ЦИФРОВЫЕ ИНТЕРНЕТ ПЛАТФОРМЫ,100000–130000 RUR,https://hh.ru/vacancy/119764438,1.0,Полная,5/2,8
Аналитик данных,ФГБУ Центральный НИИ организации и информатизации здравоохранения Минздрава России,Not specified,https://hh.ru/vacancy/118857172,1.0,Полная,5/2,8
DevOps-инженер,Бифорком Тек,Not specified,https://hh.ru/vacancy/117160821,1.0,Полная,5/2,8
Финансовый аналитик по управленческой отчетности,Ozon,Not specified,https://hh.ru/vacancy/119967211,3.0,Полная,5/2,8
Senior C++ Developer (команда GigaChat),СБЕР,Not specified,https://hh.ru/vacancy/119369901,,,,
Lead Devops инженер,Группа страховых компаний Югория,Not specified,https://hh.ru/vacancy/119548881,3.0,Полная,5/2,8
Инженер по тестированию,"Миландр, ПКК",Not specified,https://hh.ru/vacancy/118520290,1.0,Полная,5/2,8
Аналитик данных/mobile-analyst,iConText Group,Not specified,https://hh.ru/vacancy/119479458,,Полная,5/2,
Инженер технической поддержки,Yoonion,Not specified,https://hh.ru/vacancy/119756594,1.0,Полная,5/2,8
"Руководитель Департамента бюджетирования, планирования и финансового анализа",Альфа Капитал,Not specified,https://hh.ru/vacancy/118734950,6.0,Полная,5/2,8
Сетевой инженер,Softline,Not specified,https://hh.ru/vacancy/117439674,1.0,Полная,5/2,8
Robotics Software Engineer (Центр Робототехники),СБЕР,Not specified,https://hh.ru/vacancy/118989083,,,,
"Middle+/Senior Devops engineer в продукт MWS Data Lakehouse [Big Data, МТС Веб Сервисы]",МТС,Not specified,https://hh.ru/vacancy/119347119,3.0,Полная,5/2,8
Data Engineer в Яндекс 360,Яндекс,Not specified,https://hh.ru/vacancy/119513583,6.0,Полная,5/2,8
Инженер технической поддержки L3 (Python),Coleman Group,From 120000 RUR,https://hh.ru/vacancy/119138535,1.0,Полная,5/2,8
Инженер-программист 2 категории АСУ,Умное Пространство Инжиниринг,Not specified,https://hh.ru/vacancy/119244435,1.0,Полная,5/2,8
Tech lead Python developer,Selecty,400000–600000 RUR,https://hh.ru/vacancy/119324861,6.0,Полная,5/2,8
DevOps инженер,LIFE PAY,Not specified,https://hh.ru/vacancy/118024312,1.0,Полная,5/2,8
"Аналитик, Центр инноваций IB",СБЕР,Not specified,https://hh.ru/vacancy/119139740,,,,
Data Scientist (RecSys),KAMAZ DIGITAL,Not specified,https://hh.ru/vacancy/118469036,3.0,Полная,5/2,8
Python Developer Senior,Аликсон,Not specified,https://hh.ru/vacancy/118910186,6.0,Полная,5/2,9
Программист,НИИ Полюс им. М.Ф.Стельмаха,From 150000 RUR,https://hh.ru/vacancy/119069129,3.0,Полная,5/2,8
QA Automation/Python,Decart IT-production,Not specified,https://hh.ru/vacancy/120112616,3.0,Полная,5/2,46
Team Lead Python проект SDN,НТЦ ИТ РОСА,Not specified,https://hh.ru/vacancy/119287306,6.0,Полная,5/2,8
Архитектор python продуктовой разработки,GlowByte,Not specified,https://hh.ru/vacancy/118861855,6.0,Полная,5/2,8
Руководитель направления Финансовой службы,ББР Банк,Not specified,https://hh.ru/vacancy/116790834,1.0,Полная,5/2,8
Ведущий системный инженер,Нетология,Not specified,https://hh.ru/vacancy/118889805,6.0,Полная,5/2,8
Стажер - FullStack разработчик,СИСТЭМ ЭЛЕКТРИК,Not specified,https://hh.ru/vacancy/118031841,,Полная,5/2,8
Инженер по внедрению ПО,МойОфис,Not specified,https://hh.ru/vacancy/119168882,3.0,Полная,5/2,8
DevOps-инженер (OpenStack),МойОфис,Not specified,https://hh.ru/vacancy/117415293,3.0,Полная,5/2,8
Ведущий системный аналитик,Marfatech,Not specified,https://hh.ru/vacancy/117879529,3.0,Полная,5/2,8
Computer Vision Engineer (Tbilisi),"Hi, Rockits!",From 4000 USD,https://hh.ru/vacancy/118873884,3.0,Полная,5/2,89
Backend-разработчик,Берг,150000–200000 RUR,https://hh.ru/vacancy/119248320,1.0,Полная,5/2,9
Аналитик SOC L3,ГЕТ ЭКСПЕРТС РЕКРУТМЕНТ,Not specified,https://hh.ru/vacancy/119957103,3.0,Полная,5/2,8
Старший разработчик С++/С (FreeRTOS) - Senior Firmware Developer C++/C (FreeRTOS),aQsi,Not specified,https://hh.ru/vacancy/106945345,6.0,Полная,5/2,8
ML / DS инженер (GigaChat),СБЕР,Not specified,https://hh.ru/vacancy/119319367,,,,
Data Scientist,Альфа-Банк,Not specified,https://hh.ru/vacancy/117796801,1.0,Полная,5/2,8
DevOps Engineer (KATA),Лаборатория Касперского,Not specified,https://hh.ru/vacancy/119973470,3.0,Полная,5/2,8
Java разработчик (Java+SpringBoot+Kotlin),DZ Systems,200000–200000 RUR,https://hh.ru/vacancy/119867664,3.0,Полная,5/2,8
Продуктовый аналитик,VK,Not specified,https://hh.ru/vacancy/119882353,3.0,Полная,5/2,8
Продуктовый аналитик (junior+/middle-),ГК Орбита,Not specified,https://hh.ru/vacancy/119250367,1.0,Полная,5/2,8
Системный администратор/DevOps (продажа дорожно-строительной техники),Lightmans,From 160000 RUR,https://hh.ru/vacancy/118490870,3.0,Полная,5/2,8
Аналитик DWH (Middle),Компания БКС,Not specified,https://hh.ru/vacancy/119647536,3.0,Полная,5/2,8
Разработчик Python (Groovy),Цифровой аудит,Not specified,https://hh.ru/vacancy/120038244,3.0,Полная,5/2,9
Data Analyst,Россельхозбанк,Not specified,https://hh.ru/vacancy/119401788,3.0,Полная,5/2,8
Site Reliability Engineer (SRE) (middle/senior),SolidLab,Not specified,https://hh.ru/vacancy/116068164,1.0,Полная,5/2,8
Python-разработчик,Первый Бит,Not specified,https://hh.ru/vacancy/120024574,3.0,Полная,5/2,8
Data Scientist / ML,ИЦ АЙ-ТЕКО,Not specified,https://hh.ru/vacancy/119499915,3.0,Полная,5/2,8
C++ разработчик (Embedded),Научно-производственное объединение дальней радиолокации имени академика А.Л. Минца,Not specified,https://hh.ru/vacancy/117227063,3.0,Полная,5/2,8
Системный аналитик,РДТЕХ,Not specified,https://hh.ru/vacancy/119979683,3.0,Полная,5/2,8
Аналитик-разработчик,Яндекс,Not specified,https://hh.ru/vacancy/119820588,3.0,Полная,5/2,8
Python-разработчик (банковский проект),Volna.tech,Up to 160000 RUR,https://hh.ru/vacancy/119818349,1.0,Полная,5/2,8
Data Engineer,СБЕР,Not specified,https://hh.ru/vacancy/119788122,,,,
"DevOps-инженер (middle,senior)",АЙФЭЛЛ,Not specified,https://hh.ru/vacancy/119423748,3.0,Полная,5/2,8
Devops (Центр серверов приложений),СБЕР,Not specified,https://hh.ru/vacancy/119163985,1.0,Полная,5/2,8
Middle RAG инженер (ООО МТС ИИ),МТС,Not specified,https://hh.ru/vacancy/120046704,3.0,Полная,5/2,8
Ведущий системный администратор,Третьяковская галерея,From 173700 RUR,https://hh.ru/vacancy/120119472,3.0,Полная,2/2,12
Инженер по безопасности Kubernetes,АВИТО ТЕХ,Not specified,https://hh.ru/vacancy/119856662,6.0,Полная,5/2,8
Системный администратор,Московский политехнический университет,100000–100000 RUR,https://hh.ru/vacancy/120044254,1.0,Полная,5/2,8
Python разработчик,WILDBERRIES,Not specified,https://hh.ru/vacancy/117915138,3.0,Полная,5/2,8
Специалист по обработке и кодировке данных,B2X,Not specified,https://hh.ru/vacancy/119804791,1.0,Полная,5/2,8
Аналитик BI,Московский филиал АО ЦентрИнформ,Not specified,https://hh.ru/vacancy/119443537,1.0,Полная,5/2,8
Инженер по нейросетям (интеграция ChatGPT / OpenAI API),ИИ Технологии,120000–200000 RUR,https://hh.ru/vacancy/120005432,1.0,Полная,5/2,8
Сетевой инженер,МТС,Not specified,https://hh.ru/vacancy/118493243,3.0,Полная,5/2,9
Разработчик на Python (ментор),Галактионов Тихон Витальевич,50000–300000 RUR,https://hh.ru/vacancy/119516477,3.0,Частичная,Свободный,по договорённости
Младший специалист риск-аналитик ВТБ РОСТ,Банк ВТБ (ПАО),130000–130000 RUR,https://hh.ru/vacancy/120040575,1.0,Полная,5/2,8
Team Lead Flutter,Амига,250000–350000 RUR,https://hh.ru/vacancy/119500585,1.0,Полная,5/2,8
Руководитель группы разработки,Т-Банк,Not specified,https://hh.ru/vacancy/119010722,1.0,Полная,5/2,8
DevOps engineer (Middle/Senior),Employcity,Not specified,https://hh.ru/vacancy/119013481,3.0,Полная,5/2,8
Главный специалист отдела системной экспертизы (BI-аналитик),Московский метрополитен,From 130000 RUR,https://hh.ru/vacancy/109552596,1.0,Полная,5/2,8
Эксперт по безопасности GenAI-моделей и приложений (исследование и разработка PoC),СБЕР,Not specified,https://hh.ru/vacancy/119545149,,,,
Продуктовый аналитик (Middle),Т-Банк,Not specified,https://hh.ru/vacancy/119425533,1.0,Полная,5/2,8
AppSec engineer: Research & Integration,Инфосистемы Джет,Not specified,https://hh.ru/vacancy/119010341,3.0,Полная,5/2,8
Middle BI-аналитик (команда контента),Альфа-Банк,Not specified,https://hh.ru/vacancy/119284573,1.0,Полная,5/2,8
Инженер дежурной смены средств информационной безопасности (Антивирусная защита),Транснефть-Технологии,Not specified,https://hh.ru/vacancy/117628323,1.0,Полная,2/2,12
NLP-инженер,АБК,Not specified,https://hh.ru/vacancy/119301279,1.0,Полная,5/2,8
Методолог бизнес-процессов / ИТ архитектор решений,ЛУКОЙЛ,Not specified,https://hh.ru/vacancy/118729027,3.0,Полная,5/2,8
Data Scientist (Senior),Вкусно — и точка,Not specified,https://hh.ru/vacancy/118806349,3.0,Полная,5/2,8
Инженер-проектировщик слаботочных систем,Ozon,Not specified,https://hh.ru/vacancy/115382304,1.0,Полная,5/2,8
Аналитик DWH,Группа страховых компаний Югория,Not specified,https://hh.ru/vacancy/119493868,1.0,Полная,5/2,8
"Стажер по направлению ""Продуктовый анализ"" в Lamoda",FutureToday,Up to 90000 RUR,https://hh.ru/vacancy/119958361,,Частичная,5/2,678
Веб-аналитик,Диджитал Лайн,180000–250000 RUR,https://hh.ru/vacancy/119275957,1.0,Полная,5/2,8
DevOps-инженер (Anti-DDoS),WILDBERRIES,Not specified,https://hh.ru/vacancy/119326944,3.0,Полная,5/2,8
"Главный специалист Клиентский сервис и взыскание (PowerPoint, SQL)",Банк ДОМ.РФ,Not specified,https://hh.ru/vacancy/118258658,1.0,Полная,5/2,8
Python-разработчик,Интермобилити,Not specified,https://hh.ru/vacancy/118992526,3.0,Полная,5/2,8
"Инженер по информационной безопасности (AppSec), Группа продуктовой безопасности",Ozon,Not specified,https://hh.ru/vacancy/120045595,1.0,Полная,5/2,8
Junior Product analyst,РОВИ Факторинг Плюс,Not specified,https://hh.ru/vacancy/119106290,,Полная,5/2,8
Media Buyer Team Lead,Wisebits,Not specified,https://hh.ru/vacancy/120103358,6.0,Полная,5/2,8
Руководитель ML в службу алгоритмов рекомендаций в Яндекс.Еде,Яндекс,Not specified,https://hh.ru/vacancy/120084991,6.0,Полная,5/2,8
Разработчик баз данных (Oracle),Банк Русский Стандарт,From 220000 RUR,https://hh.ru/vacancy/119853916,1.0,Полная,5/2,8
Инженер систем управления событиями безопасности,Т1,Not specified,https://hh.ru/vacancy/102335736,1.0,Полная,5/2,8
Python-разработчик,РБ,Up to 150000 RUR,https://hh.ru/vacancy/119591685,3.0,Полная,5/2,8
Сетевой инженер,Банк ВТБ (ПАО),Not specified,https://hh.ru/vacancy/118612256,3.0,Полная,5/2,8
Бизнес-аналитик,Московский филиал АО ЦентрИнформ,Up to 200000 RUR,https://hh.ru/vacancy/119443435,3.0,Полная,5/2,8
AI Engineer,IT_One,Not specified,https://hh.ru/vacancy/119950845,3.0,Полная,5/2,8
Продуктовый аналитик,Teamline Consult,From 250000 RUR,https://hh.ru/vacancy/119191856,3.0,Полная,5/2,8
Руководитель отдела разработки (full-stack / Python 70%),ЛогЛаб,Not specified,https://hh.ru/vacancy/112546494,6.0,Полная,5/2,8
Программист Python / C / C++ (промышленное и научное оборудование),Центр инженерной физики МГУ,130000–170000 RUR,https://hh.ru/vacancy/119765554,1.0,Полная,5/2,8
DevOps-инженер,"Программный Продукт, ИТ-компания",Not specified,https://hh.ru/vacancy/108046132,1.0,Полная,5/2,8
Портфельный аналитик,Finbridge,Not specified,https://hh.ru/vacancy/116427903,3.0,Полная,5/2,8
"Аналитик (маркетинг, клиентская аналитика, лояльность)",S8 Capital,Not specified,https://hh.ru/vacancy/120023675,1.0,Полная,5/2,8
Ведущий инженер разработчик FPGA/ПЛИС,НТЦ ЭЛИНС,130000–260000 RUR,https://hh.ru/vacancy/86652003,3.0,Полная,5/2,8
"Системный аналитик (CI/CD, Автоматизация)",СБЕР,Not specified,https://hh.ru/vacancy/119884082,3.0,Полная,5/2,8
Старший ML-разработчик,Яндекс,Not specified,https://hh.ru/vacancy/119507247,1.0,Полная,5/2,8
Senior Python Developer /Cеньор Питон Разработчик,Островок,Not specified,https://hh.ru/vacancy/119024829,6.0,Полная,,
Data Engineer \ Дата Инженер,WONE IT,Not specified,https://hh.ru/vacancy/119602445,3.0,Полная,5/2,8
Руководитель направления отдела сопровождения и поддержки клиентских цифровых сервисов,Россельхозбанк,Not specified,https://hh.ru/vacancy/119878895,3.0,Полная,5/2,8
ML Engineer (recommendations),Звук,Not specified,https://hh.ru/vacancy/120042242,1.0,Полная,5/2,8
Помощник куратора НПФ/УК,Центральный банк Российской Федерации (Банк России),Not specified,https://hh.ru/vacancy/120024611,,Полная,5/2,8
Менеджер по аналитике,Пятёрочка,Not specified,https://hh.ru/vacancy/118625940,1.0,Полная,5/2,8
Professional Services Engineer,Лаборатория Касперского,Not specified,https://hh.ru/vacancy/119709271,3.0,Полная,5/2,8
Аналитик данных,Boosty,Not specified,https://hh.ru/vacancy/119837379,3.0,Полная,5/2,8
Python Developer AI,Альфа-Банк,Not specified,https://hh.ru/vacancy/117326410,3.0,Полная,5/2,8
Руководитель направления Продвинутая аналитика и моделирование,Банк ДОМ.РФ,Not specified,https://hh.ru/vacancy/119330767,3.0,Полная,5/2,8
Системный инженер в команду робота-доставщика,Яндекс,Not specified,https://hh.ru/vacancy/115589706,6.0,Полная,5/2,8
Middle+/Senior Oracle developer,Сибител,Not specified,https://hh.ru/vacancy/119068647,3.0,Полная,5/2,8
Инженер данных ETL,Главгосэкспертиза России,Not specified,https://hh.ru/vacancy/119497175,3.0,Полная,5/2,8
Системный аналитик,ЭНИ.РАН,Not specified,https://hh.ru/vacancy/120124686,1.0,Полная,5/2,8
Руководитель проекта (оценка проектов/тестирование гипотез Розничного Бизнеса),Банк ВТБ (ПАО),Not specified,https://hh.ru/vacancy/118144337,3.0,Полная,5/2,8
Прикладной администратор операционно-технологического сопровождения программы Лояльности,Национальная система платежных карт,Not specified,https://hh.ru/vacancy/119445743,1.0,Полная,5/2,8
Разработчик Power BI Middle,Зеробит,100000–150000 RUR,https://hh.ru/vacancy/119547445,1.0,Полная,5/2,8
